"filename", "language", "XML", "JSON", "C#", "Properties", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\iWenJuan.Service.DataProcessing.csproj.nuget.g.targets", "XML", -11, 0, 0, 0, 0, 0, 0, 0, -11
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataProcessing\obj\project.assets.json", "JSON", 0, -2481, 0, 0, 0, 0, 0, 0, -2481
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\bin\Debug\net9.0\appsettings.json", "JSON", 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\bin\Debug\net9.0\iWenJuan.Service.DataStorage.deps.json", "JSON", 0, -1121, 0, 0, 0, 0, 0, 0, -1121
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\bin\Debug\net9.0\iWenJuan.Service.DataStorage.runtimeconfig.json", "JSON", 0, -20, 0, 0, 0, 0, 0, 0, -20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\bin\Debug\net9.0\iWenJuan.Service.DataStorage.staticwebassets.endpoints.json", "JSON", 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, -3, 0, 0, 0, -1, -1, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\AppSettingsSchema.json", "JSON", 0, -1170, 0, 0, 0, 0, 0, 0, -1170
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\CombinedComponentSchema.json", "JSON", 0, -97, 0, 0, 0, 0, 0, 0, -97
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\iWenJuan.Service.DataStorage.AssemblyInfo.cs", "C#", 0, 0, -10, 0, 0, 0, -10, -5, -25
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\iWenJuan.Service.DataStorage.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -21, 0, 0, 0, -1, -22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\iWenJuan.Service.DataStorage.GlobalUsings.g.cs", "C#", 0, 0, -16, 0, 0, 0, -1, -1, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\iWenJuan.Service.DataStorage.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, -3, 0, 0, 0, -10, -5, -18
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\staticwebassets.build.endpoints.json", "JSON", 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\staticwebassets.build.json", "JSON", 0, -12, 0, 0, 0, 0, 0, 0, -12
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\staticwebassets\msbuild.build.iWenJuan.Service.DataStorage.props", "XML", -4, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\staticwebassets\msbuild.buildMultiTargeting.iWenJuan.Service.DataStorage.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\Debug\net9.0\staticwebassets\msbuild.buildTransitive.iWenJuan.Service.DataStorage.props", "XML", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\iWenJuan.Service.DataStorage.csproj.nuget.dgspec.json", "JSON", 0, -266, 0, 0, 0, 0, 0, 0, -266
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\iWenJuan.Service.DataStorage.csproj.nuget.g.props", "XML", -24, 0, 0, 0, 0, 0, 0, 0, -24
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\iWenJuan.Service.DataStorage.csproj.nuget.g.targets", "XML", -13, 0, 0, 0, 0, 0, 0, 0, -13
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.DataStorage\obj\project.assets.json", "JSON", 0, -3031, 0, 0, 0, 0, 0, 0, -3031
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Service.Email\bin\Debug\net9.0\appsettings.json", "JSON", 0, -9, 0, 0, 0, 0, 0, -1, -10
