"filename", "language", "Razor", "XML", "C#", "JSON", "CSS", "Docker", "YAML", "Ignore", "comment", "blank", "total"
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Enums\QuestionTypeEnum.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\Extension\HttpClientExtension.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 6, 8, 36
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Answer.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Logic.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Option.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Question.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\SurveyModels\Survey.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan.Shared\iWenJuan.Shared.csproj", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\Program.cs", "C#", 0, 0, 48, 0, 0, 0, 0, 0, 15, 12, 75
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\Properties\launchSettings.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\appsettings.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.AppHost\iWenJuan.AppHost.csproj", "XML", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.ServiceDefaults\Extensions.cs", "C#", 0, 0, 75, 0, 0, 0, 0, 0, 23, 22, 120
"c:\Users\Anuxa\source\repos\iWenJuan\iWenJuan\iWenJuan.ServiceDefaults\iWenJuan.ServiceDefaults.csproj", "XML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Anuxa\source\repos\iWenJuan\launchSettings.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"Total", "-", 870, 205, 1867, 408, 157, 102, 18, 30, 807, 766, 5230
